,Date,Cluster,Population,White,Black,Asian/Pacific,Native American,Dependency Ratio,M/F Ratio,Own/Rent Ratio,HS Max %,College Educated %,Native Born %,Naturalized %,No Citizen %,Poverty Below 100,Poverty 100-149,Mean Income,Median Rent Price,Median Price Asked,Total Crimes,Violent Crimes,Theft Crimes,Population Q-Score,Poverty Q-Score,Income Q-Score,Home Q-Score,Crime Q-Score,Total Q-Score
1666,2014-11,Cluster 28,4948.0,83.0,4838.0,4.0,1.0,0.6870098874872145,0.8763746681835419,0.34844271412680755,0.6319969742813918,0.3680030257186082,0.9727162489894907,0.007679870654810024,0.019603880355699273,2221.0,516.0,38341.0,928.4,271100.0,38,3,35,-3.0,-1.0,-4.0,-2.0,1.0,-2.0
1667,2014-12,Cluster 28,4948.0,83.0,4838.0,4.0,1.0,0.6870098874872145,0.8763746681835419,0.34844271412680755,0.6319969742813918,0.3680030257186082,0.9727162489894907,0.007679870654810024,0.019603880355699273,2221.0,516.0,38341.0,928.4,270500.0,47,2,45,-3.0,-1.0,-4.0,-2.0,1.0,-2.0
1668,2015-01,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,270500.0,37,4,33,-3.0,-1.0,-4.0,-2.0,1.0,-2.0
1669,2015-02,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,272300.0,20,3,17,-3.0,-1.0,-4.0,-2.0,2.0,-1.7999999999999998
1670,2015-03,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,274300.0,29,3,26,-3.0,-1.0,-4.0,-2.0,1.0,-2.0
1671,2015-04,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,276700.0,28,4,24,-3.0,-1.0,-4.0,-2.0,2.0,-1.7999999999999998
1672,2015-05,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,280100.0,36,7,29,-3.0,-1.0,-4.0,-2.0,1.0,-2.0
1673,2015-06,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,283600.0,37,4,33,-3.0,-1.0,-4.0,-2.0,2.0,-1.7999999999999998
1674,2015-07,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,285700.0,51,8,43,-3.0,-1.0,-4.0,-2.0,1.0,-2.0
1675,2015-08,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,286800.0,39,9,30,-3.0,-1.0,-4.0,-2.0,1.0,-2.0
1676,2015-09,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,289100.0,48,7,41,-3.0,-1.0,-4.0,-2.0,1.0,-2.0
1677,2015-10,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,293800.0,42,7,35,-3.0,-1.0,-4.0,-2.0,1.0,-2.0
1678,2015-11,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,300600.0,26,3,23,-3.0,-1.0,-4.0,-2.0,2.0,-1.7999999999999998
1679,2015-12,Cluster 28,5338.0,53.0,5252.0,5.0,1.0,0.6624104640298972,0.7918764686136287,0.3721174004192872,0.633379405666897,0.366620594333103,0.9743349569127013,0.007118771075309105,0.01854627201198951,2505.0,651.0,38859.0,851.94,305900.0,43,8,35,-3.0,-1.0,-4.0,-1.0,1.0,-1.7
1680,2011-01,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,187658.0,6,0,6,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1681,2011-02,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,185335.0,5,1,4,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1682,2011-03,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,184325.0,2,0,2,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1683,2011-04,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,182810.0,3,0,3,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1684,2011-05,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,180992.0,10,0,10,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1685,2011-06,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,178871.0,8,0,8,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1686,2011-07,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,176952.0,6,0,6,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1687,2011-08,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,174629.0,9,1,8,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1688,2011-09,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,172205.0,6,1,5,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1689,2011-10,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,170286.0,7,3,4,-4.0,2.0,-2.0,-4.0,4.0,-1.1999999999999997
1690,2011-11,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,170185.0,7,2,5,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1691,2011-12,Cluster 29,2874.0,0.0,2861.0,0.0,0.0,1.3047313552526063,0.4537177541729894,0.3141409488714878,0.5122131754256106,0.4877868245743894,0.9707724425887265,0.019485038274182326,0.009742519137091163,1182.0,257.0,52091.0,545.6,171296.0,13,3,10,-4.0,2.0,-2.0,-3.0,3.0,-1.0999999999999999
1692,2012-01,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,172003.0,8,3,5,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1693,2012-02,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,172104.0,5,1,4,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1694,2012-03,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,172407.0,9,3,6,-4.0,2.0,-2.0,-3.0,3.0,-1.0999999999999999
1695,2012-04,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,173518.0,13,4,9,-4.0,2.0,-2.0,-3.0,3.0,-1.0999999999999999
