period,cluster,MedianPriceAsked
2014-04,Cluster 16,450000
2014-05,Cluster 16,450000
2014-06,Cluster 16,450000
2014-07,Cluster 16,450000
2014-08,Cluster 16,450000
2014-09,Cluster 16,450000
2014-10,Cluster 16,450000
2014-11,Cluster 16,450000
2014-12,Cluster 16,450000
2015-01,Cluster 16,463636.36
2015-02,Cluster 16,463636.36
2015-03,Cluster 16,463636.36
2015-04,Cluster 16,463636.36
2015-05,Cluster 16,463636.36
2015-06,Cluster 16,463636.36
2015-07,Cluster 16,463636.36
2015-08,Cluster 16,463636.36
2015-09,Cluster 16,463636.36
2015-10,Cluster 16,463636.36
2015-11,Cluster 16,463636.36
2015-12,Cluster 16,463636.36
2011-01,Cluster 17,346226.42
2011-02,Cluster 17,346226.42
2011-03,Cluster 17,346226.42
2011-04,Cluster 17,346226.42
2011-05,Cluster 17,346226.42
2011-06,Cluster 17,346226.42
2011-07,Cluster 17,346226.42
2011-08,Cluster 17,346226.42
2011-09,Cluster 17,346226.42
2011-10,Cluster 17,346226.42
2011-11,Cluster 17,346226.42
2011-12,Cluster 17,346226.42
2012-01,Cluster 17,306896.55
2012-02,Cluster 17,306896.55
2012-03,Cluster 17,306896.55
2012-04,Cluster 17,306896.55
2012-05,Cluster 17,306896.55
2012-06,Cluster 17,306896.55
2012-07,Cluster 17,306896.55
2012-08,Cluster 17,306896.55
2012-09,Cluster 17,306896.55
2012-10,Cluster 17,306896.55
2012-11,Cluster 17,306896.55
2012-12,Cluster 17,306896.55
2013-01,Cluster 17,279752.07
2013-02,Cluster 17,279752.07
2013-03,Cluster 17,279752.07
2013-04,Cluster 17,279752.07
2013-05,Cluster 17,279752.07
2013-06,Cluster 17,279752.07
2013-07,Cluster 17,279752.07
2013-08,Cluster 17,279752.07
2013-09,Cluster 17,279752.07
2013-10,Cluster 17,279752.07
2013-11,Cluster 17,279752.07
2013-12,Cluster 17,279752.07
2014-01,Cluster 17,366858.4
2014-02,Cluster 17,366858.4
2014-03,Cluster 17,366858.4
2014-04,Cluster 17,366858.4
2014-05,Cluster 17,366858.4
2014-06,Cluster 17,366858.4
2014-07,Cluster 17,366858.4
2014-08,Cluster 17,366858.4
2014-09,Cluster 17,366858.4
2014-10,Cluster 17,366858.4
2014-11,Cluster 17,366858.4
2014-12,Cluster 17,366858.4
2015-01,Cluster 17,375304.88
2015-02,Cluster 17,375304.88
2015-03,Cluster 17,375304.88
2015-04,Cluster 17,375304.88
2015-05,Cluster 17,375304.88
2015-06,Cluster 17,375304.88
2015-07,Cluster 17,375304.88
2015-08,Cluster 17,375304.88
2015-09,Cluster 17,375304.88
2015-10,Cluster 17,375304.88
2015-11,Cluster 17,375304.88
2015-12,Cluster 17,375304.88
2011-01,Cluster 18,393181.82
2011-02,Cluster 18,393181.82
2011-03,Cluster 18,393181.82
2011-04,Cluster 18,393181.82
2011-05,Cluster 18,393181.82
2011-06,Cluster 18,393181.82
2011-07,Cluster 18,393181.82
2011-08,Cluster 18,393181.82
2011-09,Cluster 18,393181.82
2011-10,Cluster 18,393181.82
2011-11,Cluster 18,393181.82
2011-12,Cluster 18,393181.82
2012-01,Cluster 18,375000
2012-02,Cluster 18,375000
2012-03,Cluster 18,375000
2012-04,Cluster 18,375000
2012-05,Cluster 18,375000
2012-06,Cluster 18,375000
2012-07,Cluster 18,375000
2012-08,Cluster 18,375000
2012-09,Cluster 18,375000
2012-10,Cluster 18,375000
2012-11,Cluster 18,375000
2012-12,Cluster 18,375000
2013-01,Cluster 18,336752.14
2013-02,Cluster 18,336752.14
2013-03,Cluster 18,336752.14
2013-04,Cluster 18,336752.14
2013-05,Cluster 18,336752.14
2013-06,Cluster 18,336752.14
2013-07,Cluster 18,336752.14
2013-08,Cluster 18,336752.14
2013-09,Cluster 18,336752.14
2013-10,Cluster 18,336752.14
2013-11,Cluster 18,336752.14
2013-12,Cluster 18,336752.14
2014-01,Cluster 18,368354.43
2014-02,Cluster 18,368354.43
2014-03,Cluster 18,368354.43
2014-04,Cluster 18,368354.43
2014-05,Cluster 18,368354.43
2014-06,Cluster 18,368354.43
2014-07,Cluster 18,368354.43
2014-08,Cluster 18,368354.43
2014-09,Cluster 18,368354.43
2014-10,Cluster 18,368354.43
2014-11,Cluster 18,368354.43
2014-12,Cluster 18,368354.43
2015-01,Cluster 18,400000
2015-02,Cluster 18,400000
2015-03,Cluster 18,400000
2015-04,Cluster 18,400000
2015-05,Cluster 18,400000
2015-06,Cluster 18,400000
2015-07,Cluster 18,400000
2015-08,Cluster 18,400000
2015-09,Cluster 18,400000
2015-10,Cluster 18,400000
2015-11,Cluster 18,400000
2015-12,Cluster 18,400000
2011-01,Cluster 19,350000
2011-02,Cluster 19,350000
2011-03,Cluster 19,350000
2011-04,Cluster 19,350000
2011-05,Cluster 19,350000
2011-06,Cluster 19,350000
2011-07,Cluster 19,350000
2011-08,Cluster 19,350000
2011-09,Cluster 19,350000
2011-10,Cluster 19,350000
2011-11,Cluster 19,350000
2011-12,Cluster 19,350000
2012-01,Cluster 19,350000
2012-02,Cluster 19,350000
2012-03,Cluster 19,350000
2012-04,Cluster 19,350000
2012-05,Cluster 19,350000
2012-06,Cluster 19,350000
2012-07,Cluster 19,350000
2012-08,Cluster 19,350000
2012-09,Cluster 19,350000
2012-10,Cluster 19,350000
2012-11,Cluster 19,350000
2012-12,Cluster 19,350000
2013-01,Cluster 19,250000
2013-02,Cluster 19,250000
2013-03,Cluster 19,250000
2013-04,Cluster 19,250000
2013-05,Cluster 19,250000
2013-06,Cluster 19,250000
2013-07,Cluster 19,250000
2013-08,Cluster 19,250000
2013-09,Cluster 19,250000
2013-10,Cluster 19,250000
2013-11,Cluster 19,250000
2013-12,Cluster 19,250000
2014-01,Cluster 19,250000
2014-02,Cluster 19,250000
2014-03,Cluster 19,250000
2014-04,Cluster 19,250000
2014-05,Cluster 19,250000
2014-06,Cluster 19,250000
2014-07,Cluster 19,250000
2014-08,Cluster 19,250000
2014-09,Cluster 19,250000
2014-10,Cluster 19,250000
2014-11,Cluster 19,250000
2014-12,Cluster 19,250000
2015-01,Cluster 19,250000
2015-02,Cluster 19,250000
2015-03,Cluster 19,250000
2015-04,Cluster 19,250000
2015-05,Cluster 19,250000
2015-06,Cluster 19,250000
2015-07,Cluster 19,250000
2015-08,Cluster 19,250000
2015-09,Cluster 19,250000
2015-10,Cluster 19,250000
2015-11,Cluster 19,250000
2015-12,Cluster 19,250000
2011-01,Cluster 2,317857.14
2011-02,Cluster 2,317857.14
2011-03,Cluster 2,317857.14
2011-04,Cluster 2,317857.14
2011-05,Cluster 2,317857.14
2011-06,Cluster 2,317857.14
2011-07,Cluster 2,317857.14
2011-08,Cluster 2,317857.14
2011-09,Cluster 2,317857.14
2011-10,Cluster 2,317857.14
2011-11,Cluster 2,317857.14
2011-12,Cluster 2,317857.14
2012-01,Cluster 2,372529.24
2012-02,Cluster 2,372529.24
2012-03,Cluster 2,372529.24
2012-04,Cluster 2,372529.24
2012-05,Cluster 2,372529.24
2012-06,Cluster 2,372529.24
2012-07,Cluster 2,372529.24
2012-08,Cluster 2,372529.24
2012-09,Cluster 2,372529.24
2012-10,Cluster 2,372529.24
2012-11,Cluster 2,372529.24
2012-12,Cluster 2,372529.24
2013-01,Cluster 2,374358.97
2013-02,Cluster 2,374358.97
2013-03,Cluster 2,374358.97
2013-04,Cluster 2,374358.97
2013-05,Cluster 2,374358.97
2013-06,Cluster 2,374358.97
2013-07,Cluster 2,374358.97
2013-08,Cluster 2,374358.97
2013-09,Cluster 2,374358.97
2013-10,Cluster 2,374358.97
2013-11,Cluster 2,374358.97
2013-12,Cluster 2,374358.97
2014-01,Cluster 2,365084.03
2014-02,Cluster 2,365084.03
2014-03,Cluster 2,365084.03
2014-04,Cluster 2,365084.03
2014-05,Cluster 2,365084.03
2014-06,Cluster 2,365084.03
2014-07,Cluster 2,365084.03
2014-08,Cluster 2,365084.03
2014-09,Cluster 2,365084.03
2014-10,Cluster 2,365084.03
2014-11,Cluster 2,365084.03
2014-12,Cluster 2,365084.03
2015-01,Cluster 2,500000
2015-02,Cluster 2,500000
2015-03,Cluster 2,500000
2015-04,Cluster 2,500000
2015-05,Cluster 2,500000
2015-06,Cluster 2,500000
2015-07,Cluster 2,500000
2015-08,Cluster 2,500000
2015-09,Cluster 2,500000
2015-10,Cluster 2,500000
2015-11,Cluster 2,500000
2015-12,Cluster 2,500000
2011-01,Cluster 20,265517.24
2011-02,Cluster 20,265517.24
2011-03,Cluster 20,265517.24
2011-04,Cluster 20,265517.24
2011-05,Cluster 20,265517.24
2011-06,Cluster 20,265517.24
2011-07,Cluster 20,265517.24
2011-08,Cluster 20,265517.24
2011-09,Cluster 20,265517.24
2011-10,Cluster 20,265517.24
2011-11,Cluster 20,265517.24
2011-12,Cluster 20,265517.24
2012-01,Cluster 20,250847.46
2012-02,Cluster 20,250847.46
2012-03,Cluster 20,250847.46
2012-04,Cluster 20,250847.46
2012-05,Cluster 20,250847.46
2012-06,Cluster 20,250847.46
